attack_type,client_count,threshold,precision,recall,f1_score

MIA,5,N/A,0.7902200488997555,0.5144858325374084,0.6232163517161589
Gradient MIA,5,0.4,0.7958971695663464,0.9758038841133397,0.8767162471395881
Label Inference Attack,5,N/A,0.5266278344081547,0.526665277850112,0.5241607044578976
